p_key,country1,country2,country3,country4,country5,amount,transaction_date,Path,Path_length
2993481,Turkey,Greece,Mexico,Israel,Mexico,55821.0,2019-02-28T17:41:24.000Z,Turkey_Greece_Mexico_Israel_Mexico,5
2993482,,United Kingdom,Greece,Russia,Turkey,21257.0,2019-02-28T17:41:29.000Z,United Kingdom_Greece_Russia_Turkey,4
2993483,Turkey,Greece,Israel,Greece,,76118.0,2019-02-28T17:41:29.000Z,Turkey_Greece_Israel_Greece,4
2993484,Russia,Turkey,Greece,,United Kingdom,81506.0,2019-02-28T17:41:31.000Z,Russia_Turkey_Greece_United Kingdom,4
2993485,Greece,Israel,Greece,Spain,Russia,83803.0,2019-02-28T17:41:32.000Z,Greece_Israel_Greece_Spain_Russia,5
2993486,Spain,,United Kingdom,Turkey,,84888.0,2019-02-28T17:41:35.000Z,Spain_United Kingdom_Turkey,3
2993488,,Greece,Mexico,Israel,,6974.0,2019-02-28T17:41:39.000Z,Greece_Mexico_Israel,3
2993489,Greece,Turkey,Spain,Turkey,Israel,70848.0,2019-02-28T17:41:40.000Z,Greece_Turkey_Spain_Turkey_Israel,5
2993490,United Kingdom,United Kingdom,Greece,Mexico,Mexico,49950.0,2019-02-28T17:41:42.000Z,United Kingdom_Greece_Mexico,3
2993491,Turkey,Spain,United Kingdom,Israel,Turkey,42571.0,2019-02-28T17:41:45.000Z,Turkey_Spain_United Kingdom_Israel_Turkey,5
2993492,,United Kingdom,,Mexico,Spain,6768.0,2019-02-28T17:41:46.000Z,United Kingdom_Mexico_Spain,3
2993493,United Kingdom,,Greece,Greece,Mexico,52328.0,2019-02-28T17:41:47.000Z,United Kingdom_Greece_Mexico,3
2993494,United Kingdom,,,Russia,Russia,57463.0,2019-02-28T17:41:50.000Z,United Kingdom_Russia,2
2993495,,Israel,Mexico,Mexico,,68988.0,2019-02-28T17:41:50.000Z,Israel_Mexico,2
2993496,Mexico,Greece,Turkey,United Kingdom,Spain,551.0,2019-02-28T17:41:50.000Z,Mexico_Greece_Turkey_United Kingdom_Spain,5
2993497,Mexico,Spain,Israel,Mexico,,43392.0,2019-02-28T17:41:51.000Z,Mexico_Spain_Israel_Mexico,4
2993498,United Kingdom,Israel,Greece,Greece,Russia,7341.0,2019-02-28T17:41:53.000Z,United Kingdom_Israel_Greece_Russia,4
2993499,,Greece,Israel,Russia,United Kingdom,75668.0,2019-02-28T17:41:55.000Z,Greece_Israel_Russia_United Kingdom,4
2993500,United Kingdom,Russia,,Spain,Turkey,78520.0,2019-02-28T17:41:56.000Z,United Kingdom_Russia_Spain_Turkey,4
2993501,Israel,Turkey,United Kingdom,Greece,Russia,53289.0,2019-02-28T17:41:58.000Z,Israel_Turkey_United Kingdom_Greece_Russia,5
2993502,,,United Kingdom,Spain,Russia,2474.0,2019-02-28T17:41:59.000Z,United Kingdom_Spain_Russia,3
2993503,Greece,Russia,Mexico,,Turkey,39434.0,2019-02-28T17:42:02.000Z,Greece_Russia_Mexico_Turkey,4
2993504,Spain,,,Israel,United Kingdom,92630.0,2019-02-28T17:42:07.000Z,Spain_Israel_United Kingdom,3
2993505,United Kingdom,Russia,Israel,Greece,,68258.0,2019-02-28T17:42:07.000Z,United Kingdom_Russia_Israel_Greece,4
2993506,Greece,Mexico,,,United Kingdom,7121.0,2019-02-28T17:42:10.000Z,Greece_Mexico_United Kingdom,3
2993507,Israel,Greece,Israel,Greece,,50371.0,2019-02-28T17:42:11.000Z,Israel_Greece_Israel_Greece,4
2993508,Israel,,Israel,Turkey,Mexico,9683.0,2019-02-28T17:42:12.000Z,Israel_Turkey_Mexico,3
2993509,Russia,,Greece,United Kingdom,Mexico,30846.0,2019-02-28T17:42:12.000Z,Russia_Greece_United Kingdom_Mexico,4
2993510,United Kingdom,Turkey,Russia,,Greece,89768.0,2019-02-28T17:42:12.000Z,United Kingdom_Turkey_Russia_Greece,4
2993511,United Kingdom,,Russia,Israel,Mexico,70381.0,2019-02-28T17:42:14.000Z,United Kingdom_Russia_Israel_Mexico,4
2993512,Spain,Greece,Israel,United Kingdom,Turkey,26760.0,2019-02-28T17:42:14.000Z,Spain_Greece_Israel_United Kingdom_Turkey,5
2993513,Spain,Turkey,Turkey,Israel,,14471.0,2019-02-28T17:42:18.000Z,Spain_Turkey_Israel,3
2993514,Turkey,Spain,Israel,Greece,Russia,13932.0,2019-02-28T17:42:18.000Z,Turkey_Spain_Israel_Greece_Russia,5
2993515,Mexico,Greece,,United Kingdom,,43387.0,2019-02-28T17:42:19.000Z,Mexico_Greece_United Kingdom,3
2993516,,Turkey,Russia,Mexico,Mexico,68094.0,2019-02-28T17:42:21.000Z,Turkey_Russia_Mexico,3
2993517,Mexico,Turkey,Spain,Turkey,Greece,92818.0,2019-02-28T17:42:23.000Z,Mexico_Turkey_Spain_Turkey_Greece,5
2993518,,Israel,Mexico,Russia,Spain,77414.0,2019-02-28T17:42:23.000Z,Israel_Mexico_Russia_Spain,4
2993519,,Russia,Spain,United Kingdom,Turkey,3759.0,2019-02-28T17:42:27.000Z,Russia_Spain_United Kingdom_Turkey,4
2993520,Russia,Turkey,United Kingdom,Israel,,97297.0,2019-02-28T17:42:28.000Z,Russia_Turkey_United Kingdom_Israel,4
2993521,,,Israel,Mexico,United Kingdom,78360.0,2019-02-28T17:42:31.000Z,Israel_Mexico_United Kingdom,3
2993522,Spain,Greece,Russia,,Turkey,41267.0,2019-02-28T17:42:32.000Z,Spain_Greece_Russia_Turkey,4
2993523,Mexico,Turkey,Russia,Greece,,88798.0,2019-02-28T17:42:33.000Z,Mexico_Turkey_Russia_Greece,4
2993524,United Kingdom,Mexico,Israel,,Greece,29292.0,2019-02-28T17:42:33.000Z,United Kingdom_Mexico_Israel_Greece,4
2993525,Greece,Russia,Spain,Greece,Turkey,32482.0,2019-02-28T17:42:34.000Z,Greece_Russia_Spain_Greece_Turkey,5
2993526,Mexico,United Kingdom,United Kingdom,Spain,,19094.0,2019-02-28T17:42:37.000Z,Mexico_United Kingdom_Spain,3
2993527,Russia,Russia,Greece,,United Kingdom,52234.0,2019-02-28T17:42:39.000Z,Russia_Greece_United Kingdom,3
2993528,,Greece,Mexico,,Spain,68159.0,2019-02-28T17:42:39.000Z,Greece_Mexico_Spain,3
2993529,,Russia,,United Kingdom,Israel,17089.0,2019-02-28T17:42:39.000Z,Russia_United Kingdom_Israel,3
2993530,United Kingdom,Greece,Greece,,Greece,91959.0,2019-02-28T17:42:43.000Z,United Kingdom_Greece,2
2993531,,Greece,,Israel,,4222.0,2019-02-28T17:42:45.000Z,Greece_Israel,2
2993532,Israel,Israel,Spain,Spain,Russia,15379.0,2019-02-28T17:42:50.000Z,Israel_Spain_Russia,3
2993533,Israel,,United Kingdom,Greece,,15722.0,2019-02-28T17:42:50.000Z,Israel_United Kingdom_Greece,3
2993534,Greece,Russia,,,Turkey,89660.0,2019-02-28T17:42:54.000Z,Greece_Russia_Turkey,3
2993535,Spain,United Kingdom,Russia,Israel,,22274.0,2019-02-28T17:42:55.000Z,Spain_United Kingdom_Russia_Israel,4
2993536,,Turkey,Israel,,United Kingdom,54203.0,2019-02-28T17:42:56.000Z,Turkey_Israel_United Kingdom,3
2993537,Russia,Russia,United Kingdom,Turkey,United Kingdom,77724.0,2019-02-28T17:42:57.000Z,Russia_United Kingdom_Turkey_United Kingdom,4
2993538,,United Kingdom,Mexico,Spain,Greece,14949.0,2019-02-28T17:42:58.000Z,United Kingdom_Mexico_Spain_Greece,4
2993539,Mexico,Turkey,Greece,United Kingdom,Israel,33563.0,2019-02-28T17:42:58.000Z,Mexico_Turkey_Greece_United Kingdom_Israel,5
2993540,United Kingdom,,Spain,Greece,Spain,26642.0,2019-02-28T17:42:59.000Z,United Kingdom_Spain_Greece_Spain,4
2993541,Mexico,Spain,,Spain,,19422.0,2019-02-28T17:43:00.000Z,Mexico_Spain,2
2993542,Israel,United Kingdom,,Russia,,27110.0,2019-02-28T17:43:01.000Z,Israel_United Kingdom_Russia,3
2993543,Mexico,Turkey,Mexico,Mexico,Russia,55007.0,2019-02-28T17:43:01.000Z,Mexico_Turkey_Mexico_Russia,4
2993544,,Turkey,,Israel,Greece,20816.0,2019-02-28T17:43:02.000Z,Turkey_Israel_Greece,3
2993545,Spain,Turkey,Israel,,,694.0,2019-02-28T17:43:03.000Z,Spain_Turkey_Israel,3
2993546,Russia,,Spain,Israel,,59338.0,2019-02-28T17:43:03.000Z,Russia_Spain_Israel,3
2993547,United Kingdom,Russia,,Spain,Mexico,57069.0,2019-02-28T17:43:04.000Z,United Kingdom_Russia_Spain_Mexico,4
2993548,Israel,Turkey,Greece,United Kingdom,Israel,30119.0,2019-02-28T17:43:04.000Z,Israel_Turkey_Greece_United Kingdom_Israel,5
2993549,Mexico,Spain,Turkey,United Kingdom,Russia,38387.0,2019-02-28T17:43:06.000Z,Mexico_Spain_Turkey_United Kingdom_Russia,5
2993551,Russia,,Turkey,Spain,Mexico,58810.0,2019-02-28T17:43:10.000Z,Russia_Turkey_Spain_Mexico,4
2993552,Greece,United Kingdom,Mexico,,Russia,13797.0,2019-02-28T17:43:10.000Z,Greece_United Kingdom_Mexico_Russia,4
2993553,Mexico,United Kingdom,Russia,,Spain,29245.0,2019-02-28T17:43:13.000Z,Mexico_United Kingdom_Russia_Spain,4
2993554,Greece,Israel,,United Kingdom,Russia,84521.0,2019-02-28T17:43:17.000Z,Greece_Israel_United Kingdom_Russia,4
2993555,Spain,United Kingdom,Russia,,,65894.0,2019-02-28T17:43:18.000Z,Spain_United Kingdom_Russia,3
2993556,Mexico,Israel,Turkey,United Kingdom,,73971.0,2019-02-28T17:43:22.000Z,Mexico_Israel_Turkey_United Kingdom,4
2993557,United Kingdom,,Mexico,Israel,Russia,50170.0,2019-02-28T17:43:23.000Z,United Kingdom_Mexico_Israel_Russia,4
2993558,Mexico,Mexico,,Spain,Mexico,41329.0,2019-02-28T17:43:24.000Z,Mexico_Spain_Mexico,3
2993559,Spain,Mexico,United Kingdom,United Kingdom,Russia,51579.0,2019-02-28T17:43:26.000Z,Spain_Mexico_United Kingdom_Russia,4
2993560,Israel,Spain,,,United Kingdom,56006.0,2019-02-28T17:43:26.000Z,Israel_Spain_United Kingdom,3
2993561,,Israel,Russia,Turkey,Turkey,80057.0,2019-02-28T17:43:29.000Z,Israel_Russia_Turkey,3
2993562,Israel,United Kingdom,,,Russia,99185.0,2019-02-28T17:43:30.000Z,Israel_United Kingdom_Russia,3
2993563,Turkey,Israel,Mexico,Greece,,28469.0,2019-02-28T17:43:30.000Z,Turkey_Israel_Mexico_Greece,4
2993564,Russia,United Kingdom,Greece,Israel,,16770.0,2019-02-28T17:43:35.000Z,Russia_United Kingdom_Greece_Israel,4
2993565,United Kingdom,Russia,Greece,Spain,Spain,90644.0,2019-02-28T17:43:37.000Z,United Kingdom_Russia_Greece_Spain,4
2993566,Turkey,Israel,Spain,Russia,,62730.0,2019-02-28T17:43:37.000Z,Turkey_Israel_Spain_Russia,4
2993567,,Israel,Greece,United Kingdom,,76680.0,2019-02-28T17:43:38.000Z,Israel_Greece_United Kingdom,3
2993568,Greece,Greece,Mexico,Spain,Greece,58391.0,2019-02-28T17:43:39.000Z,Greece_Mexico_Spain_Greece,4
2993569,United Kingdom,Israel,United Kingdom,Israel,,20092.0,2019-02-28T17:43:39.000Z,United Kingdom_Israel_United Kingdom_Israel,4
2993570,United Kingdom,,Mexico,Greece,Mexico,87187.0,2019-02-28T17:43:40.000Z,United Kingdom_Mexico_Greece_Mexico,4
2993571,,Turkey,Greece,Russia,Greece,9634.0,2019-02-28T17:43:43.000Z,Turkey_Greece_Russia_Greece,4
2993572,Spain,,,Israel,Greece,1386.0,2019-02-28T17:43:43.000Z,Spain_Israel_Greece,3
2993573,Turkey,United Kingdom,Greece,,Mexico,4782.0,2019-02-28T17:43:44.000Z,Turkey_United Kingdom_Greece_Mexico,4
2993574,Turkey,Israel,Mexico,Israel,,4993.0,2019-02-28T17:43:48.000Z,Turkey_Israel_Mexico_Israel,4
2993575,Mexico,,Russia,,,31295.0,2019-02-28T17:43:54.000Z,Mexico_Russia,2
2993576,,Turkey,,Spain,,73743.0,2019-02-28T17:43:54.000Z,Turkey_Spain,2
2993577,Turkey,Greece,,Israel,Turkey,6122.0,2019-02-28T17:43:57.000Z,Turkey_Greece_Israel_Turkey,4
2993578,Israel,Russia,Israel,Greece,Israel,73075.0,2019-02-28T17:44:02.000Z,Israel_Russia_Israel_Greece_Israel,5
2993579,,Russia,Greece,United Kingdom,Turkey,75439.0,2019-02-28T17:44:04.000Z,Russia_Greece_United Kingdom_Turkey,4
2993580,Russia,Spain,United Kingdom,Israel,Mexico,61136.0,2019-02-28T17:44:05.000Z,Russia_Spain_United Kingdom_Israel_Mexico,5
2993581,,Greece,,Turkey,Spain,57804.0,2019-02-28T17:44:05.000Z,Greece_Turkey_Spain,3
2993582,United Kingdom,Russia,,,Turkey,79152.0,2019-02-28T17:44:06.000Z,United Kingdom_Russia_Turkey,3
2993583,,United Kingdom,Greece,Russia,Spain,60214.0,2019-02-28T17:44:07.000Z,United Kingdom_Greece_Russia_Spain,4
2993585,Greece,,Spain,,Spain,7317.0,2019-02-28T17:44:08.000Z,Greece_Spain,2
2993586,Israel,Israel,Turkey,Greece,,5462.0,2019-02-28T17:44:09.000Z,Israel_Turkey_Greece,3
2993587,Mexico,Mexico,Mexico,United Kingdom,United Kingdom,47194.0,2019-02-28T17:44:10.000Z,Mexico_United Kingdom,2
2993588,Turkey,Israel,Mexico,,United Kingdom,84303.0,2019-02-28T17:44:11.000Z,Turkey_Israel_Mexico_United Kingdom,4
2993589,,Russia,,,Israel,25073.0,2019-02-28T17:44:16.000Z,Russia_Israel,2
2993590,Mexico,United Kingdom,,Turkey,Russia,90249.0,2019-02-28T17:44:16.000Z,Mexico_United Kingdom_Turkey_Russia,4
2993591,Mexico,Russia,,Spain,Spain,96116.0,2019-02-28T17:44:17.000Z,Mexico_Russia_Spain,3
2993592,United Kingdom,Mexico,,United Kingdom,Greece,68134.0,2019-02-28T17:44:17.000Z,United Kingdom_Mexico_United Kingdom_Greece,4
2993593,United Kingdom,Russia,,Israel,Spain,29350.0,2019-02-28T17:44:20.000Z,United Kingdom_Russia_Israel_Spain,4
2993594,Spain,United Kingdom,,,Mexico,80968.0,2019-02-28T17:44:21.000Z,Spain_United Kingdom_Mexico,3
2993595,Mexico,,Greece,Turkey,,96648.0,2019-02-28T17:44:25.000Z,Mexico_Greece_Turkey,3
2993596,Mexico,Russia,Spain,Turkey,Russia,61875.0,2019-02-28T17:44:26.000Z,Mexico_Russia_Spain_Turkey_Russia,5
2993597,,Israel,Israel,,United Kingdom,51081.0,2019-02-28T17:44:26.000Z,Israel_United Kingdom,2
2993598,United Kingdom,Spain,,Greece,,72486.0,2019-02-28T17:44:27.000Z,United Kingdom_Spain_Greece,3
2993599,Turkey,,Israel,Greece,,71535.0,2019-02-28T17:44:30.000Z,Turkey_Israel_Greece,3
2993600,Greece,United Kingdom,Spain,,Turkey,41144.0,2019-02-28T17:44:34.000Z,Greece_United Kingdom_Spain_Turkey,4
2993601,Russia,,Spain,Mexico,Turkey,30761.0,2019-02-28T17:44:34.000Z,Russia_Spain_Mexico_Turkey,4
2993602,United Kingdom,United Kingdom,Mexico,Mexico,Russia,27946.0,2019-02-28T17:44:34.000Z,United Kingdom_Mexico_Russia,3
2993603,Turkey,Israel,,United Kingdom,Greece,3884.0,2019-02-28T17:44:36.000Z,Turkey_Israel_United Kingdom_Greece,4
2993604,United Kingdom,,Mexico,Greece,,61967.0,2019-02-28T17:44:36.000Z,United Kingdom_Mexico_Greece,3
2993605,,Turkey,Spain,Mexico,Greece,82626.0,2019-02-28T17:44:36.000Z,Turkey_Spain_Mexico_Greece,4
2993606,Mexico,Mexico,,Spain,Spain,8852.0,2019-02-28T17:44:37.000Z,Mexico_Spain,2
2993607,Russia,Turkey,,,United Kingdom,95255.0,2019-02-28T17:44:38.000Z,Russia_Turkey_United Kingdom,3
2993608,Mexico,United Kingdom,Russia,,Russia,36298.0,2019-02-28T17:44:40.000Z,Mexico_United Kingdom_Russia,3
2993609,Russia,United Kingdom,Israel,Mexico,Spain,30967.0,2019-02-28T17:44:41.000Z,Russia_United Kingdom_Israel_Mexico_Spain,5
2993610,Israel,Mexico,United Kingdom,Israel,Turkey,3923.0,2019-02-28T17:44:42.000Z,Israel_Mexico_United Kingdom_Israel_Turkey,5
2993611,Turkey,Greece,Israel,Mexico,Spain,98811.0,2019-02-28T17:44:42.000Z,Turkey_Greece_Israel_Mexico_Spain,5
2993612,Greece,Turkey,Greece,Spain,Greece,27987.0,2019-02-28T17:44:44.000Z,Greece_Turkey_Greece_Spain_Greece,5
2993613,United Kingdom,,United Kingdom,Mexico,,70584.0,2019-02-28T17:44:45.000Z,United Kingdom_Mexico,2
2993614,Israel,Greece,,Spain,United Kingdom,67734.0,2019-02-28T17:44:48.000Z,Israel_Greece_Spain_United Kingdom,4
2993615,Turkey,Spain,Israel,Russia,United Kingdom,75831.0,2019-02-28T17:44:52.000Z,Turkey_Spain_Israel_Russia_United Kingdom,5
2993616,Mexico,United Kingdom,Israel,Spain,,61119.0,2019-02-28T17:44:52.000Z,Mexico_United Kingdom_Israel_Spain,4
2993617,Turkey,,Spain,Israel,,80767.0,2019-02-28T17:44:54.000Z,Turkey_Spain_Israel,3
2993618,,,Turkey,Spain,Turkey,12159.0,2019-02-28T17:44:54.000Z,Turkey_Spain_Turkey,3
2993619,Spain,Russia,Turkey,Israel,United Kingdom,36727.0,2019-02-28T17:44:56.000Z,Spain_Russia_Turkey_Israel_United Kingdom,5
2993620,Russia,Spain,Israel,,United Kingdom,36356.0,2019-02-28T17:44:58.000Z,Russia_Spain_Israel_United Kingdom,4
2993621,Mexico,Israel,Spain,United Kingdom,,57382.0,2019-02-28T17:45:00.000Z,Mexico_Israel_Spain_United Kingdom,4
2993622,Russia,Russia,Greece,Russia,Russia,6284.0,2019-02-28T17:45:02.000Z,Russia_Greece_Russia,3
2993623,Russia,Greece,Spain,Israel,Mexico,4259.0,2019-02-28T17:45:02.000Z,Russia_Greece_Spain_Israel_Mexico,5
2993624,Mexico,Turkey,United Kingdom,Russia,,71304.0,2019-02-28T17:45:03.000Z,Mexico_Turkey_United Kingdom_Russia,4
2993625,Israel,,,Russia,Greece,48503.0,2019-02-28T17:45:03.000Z,Israel_Russia_Greece,3
2993626,Spain,Turkey,Spain,Turkey,Russia,57555.0,2019-02-28T17:45:04.000Z,Spain_Turkey_Spain_Turkey_Russia,5
2993627,Israel,Russia,Greece,,Mexico,18243.0,2019-02-28T17:45:05.000Z,Israel_Russia_Greece_Mexico,4
2993628,Spain,Israel,Russia,Israel,Russia,96620.0,2019-02-28T17:45:07.000Z,Spain_Israel_Russia_Israel_Russia,5
2993629,,Turkey,United Kingdom,Russia,Mexico,7097.0,2019-02-28T17:45:07.000Z,Turkey_United Kingdom_Russia_Mexico,4
2993630,Greece,,Russia,Israel,Turkey,51152.0,2019-02-28T17:45:07.000Z,Greece_Russia_Israel_Turkey,4
2993631,United Kingdom,,Turkey,,Mexico,55554.0,2019-02-28T17:45:10.000Z,United Kingdom_Turkey_Mexico,3
2993632,Mexico,Israel,Israel,Greece,Spain,31647.0,2019-02-28T17:45:11.000Z,Mexico_Israel_Greece_Spain,4
2993633,,Spain,,Mexico,Israel,39720.0,2019-02-28T17:45:11.000Z,Spain_Mexico_Israel,3
2993634,,Greece,Greece,,Spain,70578.0,2019-02-28T17:45:11.000Z,Greece_Spain,2
2993635,United Kingdom,Spain,,,Turkey,58819.0,2019-02-28T17:45:15.000Z,United Kingdom_Spain_Turkey,3
2993636,Israel,,Greece,,Greece,49582.0,2019-02-28T17:45:15.000Z,Israel_Greece,2
2993637,Spain,,Turkey,Russia,Turkey,59725.0,2019-02-28T17:45:16.000Z,Spain_Turkey_Russia_Turkey,4
2993638,Mexico,Spain,Turkey,United Kingdom,Israel,16096.0,2019-02-28T17:45:17.000Z,Mexico_Spain_Turkey_United Kingdom_Israel,5
2993639,Mexico,Mexico,Turkey,Greece,Turkey,95163.0,2019-02-28T17:45:18.000Z,Mexico_Turkey_Greece_Turkey,4
2993640,,Turkey,,Spain,,69080.0,2019-02-28T17:45:22.000Z,Turkey_Spain,2
2993641,,Russia,Spain,United Kingdom,Russia,1423.0,2019-02-28T17:45:22.000Z,Russia_Spain_United Kingdom_Russia,4
2993642,Greece,Turkey,Russia,United Kingdom,,75606.0,2019-02-28T17:45:24.000Z,Greece_Turkey_Russia_United Kingdom,4
2993643,Spain,,Turkey,Spain,,38139.0,2019-02-28T17:45:28.000Z,Spain_Turkey_Spain,3
2993644,Spain,Spain,Greece,Russia,Greece,68834.0,2019-02-28T17:45:29.000Z,Spain_Greece_Russia_Greece,4
2993645,Turkey,United Kingdom,United Kingdom,Spain,Turkey,88693.0,2019-02-28T17:45:32.000Z,Turkey_United Kingdom_Spain_Turkey,4
2993646,United Kingdom,Spain,,Russia,,35655.0,2019-02-28T17:45:33.000Z,United Kingdom_Spain_Russia,3
2993647,Greece,Turkey,United Kingdom,Spain,Russia,24308.0,2019-02-28T17:45:34.000Z,Greece_Turkey_United Kingdom_Spain_Russia,5
2993648,Mexico,Israel,Turkey,,Mexico,32195.0,2019-02-28T17:45:34.000Z,Mexico_Israel_Turkey_Mexico,4
2993649,,Israel,United Kingdom,,Greece,99259.0,2019-02-28T17:45:35.000Z,Israel_United Kingdom_Greece,3
2993650,Mexico,,,,Turkey,75350.0,2019-02-28T17:45:36.000Z,Mexico_Turkey,2
2993651,Mexico,Israel,Greece,Israel,Russia,14895.0,2019-02-28T17:45:37.000Z,Mexico_Israel_Greece_Israel_Russia,5
2993652,Greece,Russia,,Turkey,,409.0,2019-02-28T17:45:40.000Z,Greece_Russia_Turkey,3
2993653,Spain,Greece,Mexico,United Kingdom,Mexico,44160.0,2019-02-28T17:45:40.000Z,Spain_Greece_Mexico_United Kingdom_Mexico,5
2993654,,United Kingdom,Israel,Israel,,48644.0,2019-02-28T17:45:42.000Z,United Kingdom_Israel,2
2993655,,Turkey,Spain,Russia,Mexico,17197.0,2019-02-28T17:45:42.000Z,Turkey_Spain_Russia_Mexico,4
2993656,Mexico,Mexico,Spain,,Greece,74187.0,2019-02-28T17:45:47.000Z,Mexico_Spain_Greece,3
2993657,Israel,Russia,United Kingdom,Spain,,79887.0,2019-02-28T17:45:47.000Z,Israel_Russia_United Kingdom_Spain,4
2993658,Russia,Greece,,Turkey,Mexico,7187.0,2019-02-28T17:45:51.000Z,Russia_Greece_Turkey_Mexico,4
2993659,Greece,Mexico,Russia,,United Kingdom,91714.0,2019-02-28T17:45:53.000Z,Greece_Mexico_Russia_United Kingdom,4
2993660,,United Kingdom,United Kingdom,United Kingdom,Spain,17094.0,2019-02-28T17:45:54.000Z,United Kingdom_Spain,2
2993661,Israel,,Russia,Spain,Turkey,3975.0,2019-02-28T17:45:56.000Z,Israel_Russia_Spain_Turkey,4
2993662,Turkey,,Spain,Israel,Israel,34267.0,2019-02-28T17:45:57.000Z,Turkey_Spain_Israel,3
2993663,,Turkey,Mexico,Israel,,97886.0,2019-02-28T17:46:00.000Z,Turkey_Mexico_Israel,3
2993664,Israel,Russia,Israel,Russia,United Kingdom,82395.0,2019-02-28T17:46:00.000Z,Israel_Russia_Israel_Russia_United Kingdom,5
2993665,Russia,Turkey,Israel,,,97670.0,2019-02-28T17:46:01.000Z,Russia_Turkey_Israel,3
2993666,Russia,Turkey,Greece,Israel,,43443.0,2019-02-28T17:46:01.000Z,Russia_Turkey_Greece_Israel,4
2993667,Mexico,,Mexico,United Kingdom,,4897.0,2019-02-28T17:46:01.000Z,Mexico_United Kingdom,2
2993668,Greece,Mexico,Russia,Turkey,Spain,17488.0,2019-02-28T17:46:02.000Z,Greece_Mexico_Russia_Turkey_Spain,5
2993669,United Kingdom,Spain,Mexico,Israel,,76733.0,2019-02-28T17:46:03.000Z,United Kingdom_Spain_Mexico_Israel,4
2993670,Mexico,Greece,United Kingdom,,United Kingdom,48503.0,2019-02-28T17:46:03.000Z,Mexico_Greece_United Kingdom,3
2993671,Russia,Mexico,,Mexico,Russia,83558.0,2019-02-28T17:46:05.000Z,Russia_Mexico_Russia,3
2993672,Russia,,Spain,,,97154.0,2019-02-28T17:46:07.000Z,Russia_Spain,2
2993673,,United Kingdom,Turkey,Greece,,77715.0,2019-02-28T17:46:07.000Z,United Kingdom_Turkey_Greece,3
2993674,,Greece,Greece,Israel,Turkey,18784.0,2019-02-28T17:46:08.000Z,Greece_Israel_Turkey,3
2993675,Mexico,Spain,Turkey,Russia,Spain,66631.0,2019-02-28T17:46:08.000Z,Mexico_Spain_Turkey_Russia_Spain,5
2993676,Russia,United Kingdom,,Spain,Turkey,45243.0,2019-02-28T17:46:11.000Z,Russia_United Kingdom_Spain_Turkey,4
2993677,,Greece,Turkey,,Turkey,62298.0,2019-02-28T17:46:14.000Z,Greece_Turkey,2
2993678,Russia,,Israel,Turkey,United Kingdom,79754.0,2019-02-28T17:46:14.000Z,Russia_Israel_Turkey_United Kingdom,4
2993679,Spain,,,,Russia,86438.0,2019-02-28T17:46:21.000Z,Spain_Russia,2
2993680,,Turkey,Greece,,United Kingdom,85834.0,2019-02-28T17:46:22.000Z,Turkey_Greece_United Kingdom,3
2993681,Spain,Turkey,,Mexico,Spain,29501.0,2019-02-28T17:46:23.000Z,Spain_Turkey_Mexico_Spain,4
2993682,Turkey,,United Kingdom,,,70844.0,2019-02-28T17:46:24.000Z,Turkey_United Kingdom,2
2993683,Russia,United Kingdom,Mexico,Israel,Turkey,82980.0,2019-02-28T17:46:27.000Z,Russia_United Kingdom_Mexico_Israel_Turkey,5
2993684,United Kingdom,United Kingdom,United Kingdom,Russia,Mexico,42742.0,2019-02-28T17:46:28.000Z,United Kingdom_Russia_Mexico,3
2993685,,Israel,,Spain,Mexico,48488.0,2019-02-28T17:46:30.000Z,Israel_Spain_Mexico,3
2993686,Spain,Russia,United Kingdom,United Kingdom,United Kingdom,42283.0,2019-02-28T17:46:30.000Z,Spain_Russia_United Kingdom,3
2993687,Israel,United Kingdom,Spain,Mexico,Turkey,38827.0,2019-02-28T17:46:30.000Z,Israel_United Kingdom_Spain_Mexico_Turkey,5
2993688,Greece,United Kingdom,,Greece,United Kingdom,4939.0,2019-02-28T17:46:30.000Z,Greece_United Kingdom_Greece_United Kingdom,4
2993689,Mexico,Russia,United Kingdom,,Israel,18750.0,2019-02-28T17:46:34.000Z,Mexico_Russia_United Kingdom_Israel,4
2993690,,Spain,Turkey,Spain,Greece,67202.0,2019-02-28T17:46:35.000Z,Spain_Turkey_Spain_Greece,4
2993691,Turkey,Mexico,Russia,,United Kingdom,66314.0,2019-02-28T17:46:37.000Z,Turkey_Mexico_Russia_United Kingdom,4
2993692,Israel,Spain,Turkey,Turkey,Mexico,38283.0,2019-02-28T17:46:38.000Z,Israel_Spain_Turkey_Mexico,4
2993693,Turkey,United Kingdom,,,Mexico,48511.0,2019-02-28T17:46:40.000Z,Turkey_United Kingdom_Mexico,3
2993694,Mexico,Turkey,Israel,Greece,,63794.0,2019-02-28T17:46:43.000Z,Mexico_Turkey_Israel_Greece,4
2993695,Turkey,Mexico,,Turkey,Spain,63883.0,2019-02-28T17:46:44.000Z,Turkey_Mexico_Turkey_Spain,4
2993696,Israel,Turkey,,,,50760.0,2019-02-28T17:46:45.000Z,Israel_Turkey,2
2993697,United Kingdom,Greece,Israel,Israel,Turkey,12066.0,2019-02-28T17:46:49.000Z,United Kingdom_Greece_Israel_Turkey,4
2993698,Israel,Turkey,,Russia,Spain,27890.0,2019-02-28T17:46:51.000Z,Israel_Turkey_Russia_Spain,4
